name,owner,language,stars,forks,watchers,open_issues,created_date,updated_date,license,created_year
vowpal_wabbit,VowpalWabbit,C++,8705,1925,8705,1,2009-07-31 19:36:58+00:00,2026-08-18 14:00:37+00:00,Other,2009
MachineLearning_Python,lawlite19,Python,8581,2516,8581,10,2016-10-17 15:44:59+00:00,2026-08-19 07:29:04+00:00,MIT License,2016
Machine-Learning-Collection,aladdinpersson,Python,8486,2786,8486,118,2020-03-26 07:02:40+00:00,2026-08-19 04:20:32+00:00,MIT License,2020
approachingalmost,abhishekkrthakur,Unknown,8372,1122,8372,54,2020-07-04 07:13:20+00:00,2026-08-18 03:42:18+00:00,No License,2020
introduction_to_ml_with_python,amueller,Jupyter Notebook,8149,4670,8149,28,2016-05-29 18:29:47+00:00,2026-08-19 10:54:59+00:00,No License,2016
auto-sklearn,automl,Python,8126,1324,8126,207,2015-07-02 15:38:10+00:00,2026-08-17 01:46:07+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",2015
machine-learning-cheat-sheet,soulmachine,TeX,8041,1332,8041,11,2013-05-09 07:43:59+00:00,2026-08-19 14:04:41+00:00,No License,2013
cortex,cortexlabs,Go,8010,593,8010,131,2019-01-24 04:43:14+00:00,2026-08-14 06:57:58+00:00,Apache License 2.0,2019
machine-learning-roadmap,mrdbourke,Unknown,7893,1168,7893,12,2020-07-09 07:07:47+00:00,2026-08-15 21:26:11+00:00,MIT License,2020
machine-learning-yearning-cn,deeplearning-ai,CSS,7844,1500,7844,4,2018-06-19 19:26:39+00:00,2026-08-18 08:45:23+00:00,Other,2018
Machine-Learning-Specialization-Coursera,greyhatguy007,Jupyter Notebook,7790,3728,7790,26,2022-06-16 15:31:02+00:00,2026-08-19 17:44:27+00:00,MIT License,2022
Machine-learning-learning-notes,Vay-keen,Unknown,7762,1878,7762,28,2018-03-24 06:48:10+00:00,2026-08-19 07:23:20+00:00,No License,2018
awesome-youtubers,JoseDeFreitas,Markdown,7701,493,7701,2,2020-08-25 14:18:15+00:00,2026-08-19 17:57:55+00:00,Creative Commons Zero v1.0 Universal,2020
Learn_Machine_Learning_in_3_Months,llSourcell,Unknown,7606,2310,7606,19,2018-03-02 10:59:53+00:00,2026-08-18 19:44:22+00:00,No License,2018
h2o-3,h2oai,Jupyter Notebook,7493,2026,7493,2883,2014-03-03 16:08:07+00:00,2026-08-19 15:24:15+00:00,Apache License 2.0,2014
industry-machine-learning,firmai,Jupyter Notebook,7485,1249,7485,3,2019-05-03 05:08:15+00:00,2026-08-17 08:53:36+00:00,No License,2019
