name,owner,language,stars,forks,watchers,open_issues,created_date,updated_date,license,created_year
predictionio,apache,Scala,12519,1898,12519,80,2013-01-25 19:42:32+00:00,2026-08-19 06:22:39+00:00,Apache License 2.0,2013
lime,marcotcr,JavaScript,12165,1847,12165,133,2016-03-15 22:18:10+00:00,2026-08-17 22:12:58+00:00,"BSD 2-Clause ""Simplified"" License",2016
cleanlab,cleanlab,Python,11628,915,11628,120,2018-05-11 01:55:21+00:00,2026-08-19 13:15:02+00:00,Apache License 2.0,2018
dive-into-machine-learning,dive-into-machine-learning,Unknown,11392,1866,11392,0,2015-02-22 23:48:16+00:00,2026-08-17 19:11:54+00:00,Creative Commons Attribution 4.0 International,2015
MLAlgorithms,rushter,Python,11166,1768,11166,10,2016-10-05 06:46:45+00:00,2026-08-18 01:12:30+00:00,MIT License,2016
turicreate,apple,C++,11160,1118,11160,522,2017-12-01 00:42:04+00:00,2026-08-18 01:19:28+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",2017
amazon-sagemaker-examples,aws,Jupyter Notebook,10977,6959,10977,849,2017-10-23 05:55:22+00:00,2026-08-18 08:57:11+00:00,Apache License 2.0,2017
A-Curated-List-of-ML-System-Design-Case-Studies,Engineer1999,Unknown,10945,1679,10945,7,2024-05-18 15:42:58+00:00,2026-08-19 02:52:13+00:00,No License,2024
dolly,databrickslabs,Python,10805,1140,10805,5,2023-03-24 16:15:53+00:00,2026-08-16 09:28:29+00:00,Apache License 2.0,2023
doccano,doccano,Python,10745,1823,10745,395,2018-05-09 06:10:05+00:00,2026-08-19 02:15:51+00:00,MIT License,2018
mlcourse.ai,Yorko,Python,10689,5698,10689,3,2017-02-27 08:32:20+00:00,2026-08-19 16:24:32+00:00,Other,2017
machine-learning-systems-design,chiphuyen,HTML,10531,1631,10531,11,2019-11-24 23:16:28+00:00,2026-08-19 14:29:09+00:00,No License,2019
Machine-Learning,Jack-Cherish,Python,10371,5065,10371,7,2017-03-25 07:32:37+00:00,2026-08-19 13:54:16+00:00,No License,2017
machine-learning-notes,roboticcam,Jupyter Notebook,10332,1825,10332,28,2018-02-15 15:42:33+00:00,2026-08-19 10:35:34+00:00,No License,2018
3D-Machine-Learning,timzhang642,Unknown,10192,1797,10192,21,2017-08-12 15:20:54+00:00,2026-08-19 12:41:02+00:00,No License,2017
tpot,EpistasisLab,Jupyter Notebook,10051,1563,10051,312,2015-11-03 21:08:40+00:00,2026-08-18 06:34:07+00:00,GNU Lesser General Public License v3.0,2015
sktime,sktime,Python,9947,2297,9947,2407,2018-11-06 15:08:24+00:00,2026-08-19 15:39:10+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",2018
Stock-Prediction-Models,huseinzol05,Jupyter Notebook,9484,3048,9484,47,2017-12-18 10:49:59+00:00,2026-08-18 09:58:10+00:00,Apache License 2.0,2017
cog,replicate,Go,9459,694,9459,69,2021-02-26 23:43:09+00:00,2026-08-18 15:04:13+00:00,Apache License 2.0,2021
golearn,sjwhitworth,Go,9439,1165,9439,89,2013-12-26 13:06:14+00:00,2026-08-19 15:38:52+00:00,MIT License,2013
AIMLInterviews,alirezadir,Jupyter Notebook,9382,1652,9382,11,2021-01-31 03:52:09+00:00,2026-08-19 18:22:18+00:00,MIT License,2021
machinelearning,dotnet,C#,9350,1950,9350,1008,2018-05-03 16:20:42+00:00,2026-08-19 12:01:37+00:00,MIT License,2018
awesome-ml-for-cybersecurity,jivoi,Unknown,9301,1939,9301,33,2016-12-20 12:46:36+00:00,2026-08-19 17:30:12+00:00,Other,2016
awesome-project-ideas,NirantK,Unknown,9269,1291,9269,7,2017-08-19 09:37:58+00:00,2026-08-19 16:18:06+00:00,MIT License,2017
catboost,catboost,C++,9068,1318,9068,710,2017-07-18 05:29:04+00:00,2026-08-19 17:49:35+00:00,Apache License 2.0,2017
machine_learning_examples,lazyprogrammer,Python,8912,6404,8912,33,2014-07-31 23:40:45+00:00,2026-08-19 15:39:41+00:00,No License,2014
state-of-the-art-result-for-machine-learning-problems,RedditSota,Unknown,8895,1294,8895,14,2017-11-09 01:21:40+00:00,2026-08-17 07:06:53+00:00,Apache License 2.0,2017
pattern,clips,Python,8860,1558,8860,179,2011-05-03 15:29:01+00:00,2026-08-18 06:33:05+00:00,"BSD 3-Clause ""New"" or ""Revised"" License",2011
financial-machine-learning,firmai,Python,8752,1409,8752,15,2019-03-21 21:00:35+00:00,2026-08-19 03:25:30+00:00,No License,2019
machinelearning,ljpzzz,Jupyter Notebook,8706,3687,8706,17,2016-05-12 07:06:34+00:00,2026-08-17 09:47:16+00:00,MIT License,2016
